SpecName,diam,organism,Note
Anolis armouri,6.76,Small_lizards,
Anolis armouri,8.24,Small_lizards,
Anolis armouri,9.62,Small_lizards,
Anolis armouri,10.24,Small_lizards,
Anolis armouri,11.63,Small_lizards,
Anolis armouri,13.31,Small_lizards,
Anolis armouri,8.22,Small_lizards,
Anolis armouri,15.06,Small_lizards,
Anolis armouri,10.41,Small_lizards,
Anolis armouri,8.99,Small_lizards,
Anolis armouri,10.78,Small_lizards,
Anolis baleatus,10.34,Small_lizards,
Anolis baleatus,11.65,Small_lizards,
Anolis bahorucoensis,7.04,Small_lizards,
Anolis bahorucoensis,7,Small_lizards,
Anolis bahorucoensis,6.41,Small_lizards,
Anolis bahorucoensis,5.4,Small_lizards,
Anolis bahorucoensis,6.78,Small_lizards,
Anolis bahorucoensis,6.09,Small_lizards,
Anolis bahorucoensis,5.05,Small_lizards,
Anolis bimaculatus,11.04,Small_lizards,
Anolis bimaculatus,11.38,Small_lizards,
Anolis bimaculatus,12.85,Small_lizards,
Anolis bimaculatus,11.41,Small_lizards,
Anolis bimaculatus,8.38,Small_lizards,
Anolis bimaculatus,8.95,Small_lizards,
Anolis bimaculatus,9.41,Small_lizards,
Anolis bimaculatus,9.93,Small_lizards,
Anolis bimaculatus,10.86,Small_lizards,
Anolis bimaculatus,9.82,Small_lizards,
Anolis bimaculatus,9.91,Small_lizards,
Anolis bimaculatus,10.54,Small_lizards,
Anolis bimaculatus,9.56,Small_lizards,
Anolis bimaculatus,9.04,Small_lizards,
Anolis bimaculatus,10.31,Small_lizards,
Anolis bimaculatus,11.18,Small_lizards,
Anolis bimaculatus,9.29,Small_lizards,
Anolis bimaculatus,9.1,Small_lizards,
Anolis bimaculatus,8.9,Small_lizards,
Anolis bimaculatus,5.59,Small_lizards,
Anolis bimaculatus,6.92,Small_lizards,
Anolis bimaculatus,9.41,Small_lizards,
Anolis bimaculatus,13.8,Small_lizards,
Anolis bimaculatus,10.6,Small_lizards,
Anolis bimaculatus,8.86,Small_lizards,
Anolis bimaculatus,8.48,Small_lizards,
Anolis bimaculatus,9.27,Small_lizards,
Anolis bimaculatus,9.71,Small_lizards,
Anolis bimaculatus,10.35,Small_lizards,
Anolis bimaculatus,9.89,Small_lizards,
Anolis bimaculatus,11.47,Small_lizards,
Anolis bimaculatus,8.09,Small_lizards,
Anolis bimaculatus,13.67,Small_lizards,
Anolis bimaculatus,10.48,Small_lizards,
Anolis bimaculatus,5.25,Small_lizards,
Anolis bimaculatus,6.52,Small_lizards,
Anolis bimaculatus,9.81,Small_lizards,
Anolis bimaculatus,5.86,Small_lizards,
Anolis bimaculatus,10.33,Small_lizards,
Anolis bimaculatus,7.13,Small_lizards,
Anolis bimaculatus,7.85,Small_lizards,
Anolis bimaculatus,9.17,Small_lizards,
Anolis bimaculatus,6.5,Small_lizards,
Anolis bimaculatus,10.23,Small_lizards,
Anolis bimaculatus,9.95,Small_lizards,
Anolis bimaculatus,6.43,Small_lizards,
Anolis bimaculatus,9.32,Small_lizards,
Anolis bimaculatus,7.51,Small_lizards,
Anolis bimaculatus,6.91,Small_lizards,
Anolis bimaculatus,7.66,Small_lizards,
Anolis bimaculatus,6.75,Small_lizards,
Anolis bimaculatus,9.15,Small_lizards,
Anolis bimaculatus,9.33,Small_lizards,
Anolis bimaculatus,10.94,Small_lizards,
Anolis bimaculatus,5.93,Small_lizards,
Anolis bimaculatus,7.57,Small_lizards,
Anolis bimaculatus,6.84,Small_lizards,
Anolis bimaculatus,10.57,Small_lizards,
Anolis bimaculatus,9.98,Small_lizards,
Anolis bimaculatus,9.39,Small_lizards,
Anolis bimaculatus,9,Small_lizards,
Anolis bimaculatus,9.79,Small_lizards,
Anolis bimaculatus,13.16,Small_lizards,
Anolis bimaculatus,11.64,Small_lizards,
Anolis bimaculatus,8.16,Small_lizards,
Anolis bimaculatus,8.6,Small_lizards,
Anolis bimaculatus,9.05,Small_lizards,
Anolis bimaculatus,13.13,Small_lizards,
Anolis bimaculatus,9.38,Small_lizards,
Anolis bimaculatus,10.22,Small_lizards,
Anolis bimaculatus,7.52,Small_lizards,
Anolis bimaculatus,12.28,Small_lizards,
Anolis bimaculatus,9.76,Small_lizards,
Anolis bimaculatus,9.53,Small_lizards,
Anolis bimaculatus,10.12,Small_lizards,
Anolis bimaculatus,12.74,Small_lizards,
Anolis bimaculatus,9.36,Small_lizards,
Anolis bimaculatus,10.36,Small_lizards,
Anolis bimaculatus,12.35,Small_lizards,
Anolis bimaculatus,14.14,Small_lizards,
Anolis bimaculatus,6.35,Small_lizards,
Anolis bimaculatus,8.97,Small_lizards,
Anolis bimaculatus,6.59,Small_lizards,
Anolis bimaculatus,8.98,Small_lizards,
Anolis bimaculatus,11.75,Small_lizards,
Anolis bimaculatus,10.64,Small_lizards,
Anolis bimaculatus,11.91,Small_lizards,
Anolis bimaculatus,13.57,Small_lizards,
Anolis bimaculatus,10.38,Small_lizards,
Anolis bimaculatus,8.69,Small_lizards,
Anolis bimaculatus,13.59,Small_lizards,
Anolis bimaculatus,11.41,Small_lizards,
Anolis bimaculatus,11.61,Small_lizards,
Anolis bimaculatus,11.93,Small_lizards,
Anolis bimaculatus,13.77,Small_lizards,
Anolis bimaculatus,8.35,Small_lizards,
Anolis bimaculatus,12.6,Small_lizards,
Anolis bimaculatus,8.52,Small_lizards,
Anolis brevirostris,7.16,Small_lizards,
Anolis brevirostris,6.61,Small_lizards,
Anolis brevirostris,5.82,Small_lizards,
Anolis brevirostris,7.67,Small_lizards,
Anolis brevirostris,7.35,Small_lizards,
Anolis brevirostris,5.94,Small_lizards,
Anolis brevirostris,5.89,Small_lizards,
Anolis brevirostris,8.21,Small_lizards,
Anolis brevirostris,7.77,Small_lizards,
Anolis brevirostris,7.9,Small_lizards,
Anolis brevirostris,7.7,Small_lizards,
Anolis brevirostris,7.41,Small_lizards,
Anolis brevirostris,7.92,Small_lizards,
Anolis brevirostris,3.47,Small_lizards,
Anolis brevirostris,6.13,Small_lizards,
Anolis brevirostris,5.71,Small_lizards,
Anolis brevirostris,6.91,Small_lizards,
Anolis brevirostris,7.83,Small_lizards,
Anolis brevirostris,7.49,Small_lizards,
Anolis brevirostris,5.25,Small_lizards,
Anolis brevirostris,6.26,Small_lizards,
Anolis brevirostris,6.54,Small_lizards,
Anolis brevirostris,7.71,Small_lizards,
Anolis brevirostris,6.39,Small_lizards,
Anolis brevirostris,7.49,Small_lizards,
Anolis brevirostris,6.35,Small_lizards,
Anolis brevirostris,6.53,Small_lizards,
Anolis brevirostris,8.06,Small_lizards,
Anolis brevirostris,5.9,Small_lizards,
Anolis brevirostris,6.85,Small_lizards,
Anolis brunneus,9.6,Small_lizards,
Anolis brunneus,12.07,Small_lizards,
Anolis brunneus,9.61,Small_lizards,
Anolis brevirostris,6.88,Small_lizards,
Anolis brevirostris,6.69,Small_lizards,
Anolis brevirostris,6.42,Small_lizards,
Anolis brevirostris,6.19,Small_lizards,
Anolis brevirostris,6.95,Small_lizards,
Anolis brevirostris,7.69,Small_lizards,
